form/generatedCommPartnerUniqueid,validation,State-IP
P-BauOCME5H49,Keep,Bauchi-WOFAN
P-KauJ8I3UK42,Keep,Jigawa-WOFAN
P-ChiMEZYJW14,Keep,Kaduna-Kaduna 1-PVNL
P-Duk0N89XX31,Keep,Gombe-WOFAN
P-BabAM54GH55,Keep,Jigawa-WOFAN
P-GirGSH8LC29,Keep,Adamawa-Farm Innovation
P-BauJHROIK31,Keep,Bauchi-WOFAN
P-KauGMW2H827,Keep,Jigawa-WOFAN
P-BauO5PIXZ25,Keep,Bauchi-WOFAN
P-HadTW2YQ905,Keep,Jigawa-WOFAN
P-AuyJZPO4S48,Keep,Jigawa-WOFAN
P-BauPJKE4O24,Keep,Bauchi-WOFAN
P-JemJNRTVQ23,Keep,Kaduna-Kaduna 2-PVNL
P-KirA581DC45,Keep,Kano-WOFAN
P-HadR0ZP7V23,Keep,Jigawa-WOFAN
P-BauYVSC8B48,Keep,Bauchi-WOFAN
P-BujB46EU603,Keep,Jigawa-WOFAN
P-BauZ5N1VY00,Keep,Bauchi-WOFAN
P-DutQWS3Q653,Keep,Jigawa-WOFAN
P-Bau2MX3JJ16,Keep,Bauchi-WOFAN
P-HadLQKYAW55,Keep,Jigawa-WOFAN
P-KacATJDL338,Keep,Kaduna-Kaduna 2-PVNL
P-Bau4J15I545,Keep,Bauchi-WOFAN
P-ZarAZW4KP03,Keep,Kaduna-WOFAN
P-BauXB2R1F28,Keep,Bauchi-WOFAN
P-Had7ENOZ649,Keep,Jigawa-WOFAN
P-BauJLRRJK39,Keep,Bauchi-WOFAN
P-Bau53V42A11,Keep,Bauchi-WOFAN
P-HadK3729139,Keep,Jigawa-WOFAN
P-Kef23653W00,Keep,Nasarawa-PVNL
P-KirLDAL8L31,Keep,Kano-WOFAN
P-Bau4Q1TA202,Keep,Bauchi-WOFAN
P-HadA3XH8148,Keep,Jigawa-WOFAN
P-KauFLSIX857,Keep,Jigawa-WOFAN
P-KefEAAUUM39,Keep,Nasarawa-PVNL
P-HadR29G6I06,Keep,Jigawa-WOFAN
P-BauR0FKSZ27,Keep,Bauchi-WOFAN
P-MarVS0P4126,Keep,Benue-PVNL
P-Das0LNOM923,Keep,Bauchi-WOFAN
P-KujW2BK0011,Keep,FCT-WOFAN
P-Taf4Z8I3M36,Keep,Bauchi-WOFAN
P-TarBD74TL00,Keep,Kano-WOFAN
P-Gwa2VOGXP35,Keep,FCT-WOFAN
P-BauU4F4TO17,Keep,Bauchi-WOFAN
P-HadKK8KTV43,Keep,Jigawa-WOFAN
P-UngZ4NW6Q02,Keep,Kano-WOFAN
P-HadPQ8JAZ00,Keep,Jigawa-WOFAN
P-UngAS05RW22,Keep,Kano-WOFAN
P-BauZVV6V527,Keep,Bauchi-WOFAN
P-Tar0HX2V837,Keep,Benue-PVNL
P-UngISHR8J01,Keep,Kano-WOFAN
P-JahBL222003,Keep,Jigawa-WOFAN
P-BauD6O2LV03,Keep,Bauchi-WOFAN
P-Bau7LOJOI05,Keep,Bauchi-WOFAN
P-Kir10M1DO16,Keep,Kano-WOFAN
P-HadL8RFDH43,Keep,Jigawa-WOFAN
P-UngLQ4P7V01,Keep,Kano-WOFAN
P-HadVBONDH36,Keep,Jigawa-WOFAN
P-GomS3YZ6K52,Keep,Gombe-WOFAN
P-UngAICQLM07,Keep,Kano-WOFAN
P-GwaI8C41842,Keep,FCT-WOFAN
P-BauDWBJ7046,Keep,Bauchi-WOFAN
P-HadMM61XP52,Keep,Jigawa-WOFAN
P-KauD6K16F07,Keep,Kaduna-Kaduna 1-PVNL
P-KafY4SOHP49,Keep,Jigawa-WOFAN
P-UngZQS19G22,Keep,Kano-WOFAN
P-AkaLVPMNB31,Keep,Nasarawa-PVNL
P-KirEGMQCK24,Keep,Kano-WOFAN
P-BauOHFYZD16,Keep,Bauchi-WOFAN
P-Had2YT39G58,Keep,Jigawa-WOFAN
P-Ung8UEPHS22,Keep,Kano-WOFAN
P-Kef2G6AI925,Keep,Nasarawa-PVNL
P-Kan9CK77806,Keep,Kano-WOFAN
P-UngJ68ULY11,Keep,Kano-WOFAN
P-BirBYRQBU30,Keep,Jigawa-WOFAN
P-KirH041WF59,Keep,Kano-WOFAN
P-BauXJCFAL22,Keep,Bauchi-WOFAN
P-Ung1SB2JW00,Keep,Kano-WOFAN
P-HadNNKUHY02,Keep,Jigawa-WOFAN
P-BauBHN6OY22,Keep,Bauchi-WOFAN
P-AkkPMC23U10,Keep,Gombe-WOFAN
P-KefB7545825,Keep,Nasarawa-PVNL
P-Ung4T19P142,Keep,Kano-WOFAN
P-BauEREHWJ26,Keep,Bauchi-WOFAN
P-HadC44XYD14,Keep,Jigawa-WOFAN
P-Kef0SDF0J40,Keep,Nasarawa-PVNL
P-Kir1W2BF047,Keep,Kano-WOFAN
P-UngDBXQS634,Keep,Kano-WOFAN
P-Mar3UXS9916,Keep,Benue-PVNL
P-ChiJY3XEU30,Keep,Kaduna-Kaduna 1-PVNL
P-JemFWUQ1246,Keep,Kaduna-Kaduna 2-PVNL
P-Kef3JKR8F44,Keep,Nasarawa-PVNL
P-MarH5D1TX07,Keep,Benue-PVNL
P-HadHRQ8WK21,Keep,Jigawa-WOFAN
P-BauTQB2J707,Keep,Bauchi-WOFAN
P-JahTSBB4X02,Keep,Jigawa-WOFAN
P-DutA931WJ38,Keep,Jigawa-WOFAN
P-KefX6M8C307,Keep,Nasarawa-PVNL
P-Kir6Y10NF14,Keep,Kano-WOFAN
P-Had88B9IN54,Keep,Jigawa-WOFAN
P-Bau22XOQM00,Keep,Bauchi-WOFAN
P-Buj7LFHOQ10,Keep,Jigawa-WOFAN
P-GomU4LPT426,Keep,Gombe-WOFAN
P-HadP8XH7A29,Keep,Jigawa-WOFAN
P-KwaMIMLY651,Keep,Gombe-WOFAN
P-Gom1ASS2612,Keep,Gombe-WOFAN
P-Kau2JPWJG20,Keep,Jigawa-WOFAN
P-BauF9V0JO59,Keep,Bauchi-WOFAN
P-JemTIAXP606,Keep,Kaduna-Kaduna 2-PVNL
P-KirC98D3838,Keep,Kano-WOFAN
P-BujVV011H07,Keep,Jigawa-WOFAN
P-HadZZ93VS46,Keep,Jigawa-WOFAN
P-BauU9L3ZX47,Keep,Bauchi-WOFAN
P-Bau3EASV838,Keep,Bauchi-WOFAN
P-BujS7KMMH36,Keep,Jigawa-WOFAN
P-Had97CUML21,Keep,Jigawa-WOFAN
P-KadRZA9H113,Keep,Kaduna-Kaduna 1-PVNL
P-BauYBZANV02,Keep,Bauchi-WOFAN
P-YamPB5OBE10,Keep,Gombe-WOFAN
P-HadHLRMAF07,Keep,Jigawa-WOFAN
P-Buj7TKEG626,Keep,Jigawa-WOFAN
P-Kwa86TDVA34,Keep,Gombe-WOFAN
P-BauNNONXL51,Keep,Bauchi-WOFAN
P-Kir0IIZ3E51,Keep,Kano-WOFAN
P-KadS8ZN2U30,Keep,Kaduna-Kaduna 1-PVNL
P-BauHAKH4J51,Keep,Bauchi-WOFAN
P-BujQKY3X430,Keep,Jigawa-WOFAN
P-Gwe9MJFF704,Keep,Benue-PVNL
P-MadEHB0M721,Keep,Kano-WOFAN
P-BauO25TDV57,Keep,Bauchi-WOFAN
P-GomUMPI8L47,Keep,Gombe-WOFAN
P-TorYDRBVK00,Keep,Bauchi-WOFAN
P-Tar06J1BK07,Keep,Kano-WOFAN
P-Kaj60B8DI57,Keep,Kaduna-Kaduna 2-PVNL
P-MarUD9RK218,Keep,Benue-PVNL
P-YamTGLAD006,Keep,Gombe-WOFAN
P-BauO6VDGM40,Keep,Bauchi-WOFAN
P-Bau7P19JJ07,Keep,Bauchi-WOFAN
P-Kaj2NSECA16,Keep,Kaduna-Kaduna 2-PVNL
P-KauD4BCTK28,Keep,Jigawa-WOFAN
P-BauUJIH9X18,Keep,Bauchi-WOFAN
P-KajNDNFLT08,Keep,Kaduna-Kaduna 2-PVNL
P-ZanSN5K0036,Keep,Kaduna-Kaduna 1-PVNL
P-BauUYQOYN11,Keep,Bauchi-WOFAN
P-KefPMB4EK27,Keep,Nasarawa-PVNL
P-Mak8S13E740,Keep,Kaduna-WOFAN
P-KirXJNNES54,Keep,Kano-WOFAN
P-BauKJ9X2149,Keep,Bauchi-WOFAN
P-Mak76SERL09,Keep,Kaduna-WOFAN
P-Mak51W5L132,Keep,Kaduna-WOFAN
P-KarEWEE9H02,Keep,Nasarawa-PVNL
P-BauQSK92E19,Keep,Bauchi-WOFAN
P-BauTPJAKX52,Keep,Bauchi-WOFAN
P-Mak3B7WL906,Keep,Kaduna-WOFAN
P-Kir580TJE57,Keep,Kano-WOFAN
P-KirNYZL5T38,Keep,Kano-WOFAN
P-DalOEQJLE40,Keep,Kano-WOFAN
P-Auy6FI16G52,Keep,Jigawa-WOFAN
P-BauEQKGRM42,Keep,Bauchi-WOFAN
P-Kir21S40801,Keep,Kano-WOFAN
P-GumX9YFS545,Keep,Benue-PVNL
P-RinKEOH8H59,Keep,Jigawa-WOFAN
P-KujIOOBZ116,Keep,FCT-WOFAN
P-Gwa25QNSY54,Keep,Jigawa-WOFAN
P-AlkBI7ONG55,Keep,Bauchi-WOFAN
P-KadSJ96EL34,Keep,Kaduna-Kaduna 1-PVNL
P-KumZPMAUC33,Keep,Kano-WOFAN
P-YolIC6C4R57,Keep,Adamawa-Farm Innovation
P-Duk0R7IWH37,Keep,Gombe-WOFAN
P-BauE1QD3816,Keep,Bauchi-WOFAN
P-KirPY5HW035,Keep,Kano-WOFAN
P-KirLAT4RJ10,Keep,Kano-WOFAN
P-JemNWC2CF30,Keep,Kaduna-Kaduna 2-PVNL
P-KirIUYMLJ34,Keep,Kano-WOFAN
P-Rin9TVRUN06,Keep,Jigawa-WOFAN
P-Kef71T2K847,Keep,Nasarawa-PVNL
P-KirDF94FF33,Keep,Kano-WOFAN
P-BauFJHYLZ03,Keep,Bauchi-WOFAN
P-YamOSSGPM28,Keep,Gombe-WOFAN
P-KanKHRNV010,Keep,Kano-WOFAN
P-RinTUQ98I27,Keep,Jigawa-WOFAN
P-Laf74AAWL58,Keep,Nasarawa-PVNL
P-GwaG0GG7Z57,Keep,FCT-WOFAN
P-KacQC851N13,Keep,Kaduna-Kaduna 2-PVNL
P-KumJ6G8CO44,Keep,Kano-WOFAN
P-SabL5ZOBH56,Keep,Kaduna-WOFAN
P-Gwa3W0BDZ12,Keep,FCT-WOFAN
P-BauUM6WC816,Keep,Bauchi-WOFAN
P-Rin6CCENM44,Keep,Jigawa-WOFAN
P-YamL6GI8T43,Keep,Gombe-WOFAN
P-GwaREUN5227,Keep,FCT-WOFAN
P-NasU15GU218,Keep,Kano-WOFAN
P-TarIVPSSG29,Keep,Kano-WOFAN
P-Gwa8R89I413,Keep,FCT-WOFAN
P-GwaGPBGP628,Keep,FCT-WOFAN
P-KwaOE6XWP37,Keep,Gombe-WOFAN
P-GwaOKJKIT46,Keep,FCT-WOFAN
P-Jem1YOPSQ15,Keep,Kaduna-Kaduna 2-PVNL
P-GomUDB0GH35,Keep,Gombe-WOFAN
P-AbaUE1HWF02,Suspend,FCT-WOFAN
P-RinLHMI2027,Keep,Jigawa-WOFAN
P-BujR8F4BU23,Keep,Jigawa-WOFAN
P-RinY67XTT35,Keep,Jigawa-WOFAN
P-BauDGJZNT31,Keep,Bauchi-WOFAN
P-GweEBF0SI51,Keep,Benue-PVNL
P-Jah5K8LWM48,Keep,Jigawa-WOFAN
P-RinW7PZ7L09,Keep,Jigawa-WOFAN
P-RinZQMN2648,Keep,Jigawa-WOFAN
P-RinDV2B6P48,Keep,Jigawa-WOFAN
P-Jem8QT5ZN35,Keep,Kaduna-Kaduna 2-PVNL
P-Rin12QFB958,Keep,Jigawa-WOFAN
P-KanFBTCD101,Keep,Kano-WOFAN
P-AuyG5OEV211,Keep,Jigawa-WOFAN
P-GanNBJ27745,Keep,Bauchi-WOFAN
P-RinRX8THJ13,Keep,Jigawa-WOFAN
P-Rin1H1OGA23,Keep,Jigawa-WOFAN
P-RinW3IXNI49,Keep,Jigawa-WOFAN
P-JemJVDFI026,Keep,Kaduna-Kaduna 2-PVNL
P-RinIOBWG704,Keep,Jigawa-WOFAN
P-RinVFBKKM31,Keep,Jigawa-WOFAN
P-KujCIGGG758,Keep,FCT-WOFAN
P-RinME934211,Keep,Jigawa-WOFAN
P-Rin1MTYOQ41,Keep,Jigawa-WOFAN
P-RinDUCGV823,Keep,Jigawa-WOFAN
P-Dut9QL1K403,Keep,Jigawa-WOFAN
P-RinU5F5UQ05,Keep,Jigawa-WOFAN
P-MakZEV3A433,Keep,Kaduna-WOFAN
P-FagTROM2D38,Keep,Kano-WOFAN
P-Mar30F5FW47,Keep,Benue-PVNL
P-RinDXC0HK11,Keep,Jigawa-WOFAN
P-RinINGFDP59,Keep,Jigawa-WOFAN
P-MigRO781O28,Keep,Jigawa-WOFAN
P-FagNN3SR322,Keep,Kano-WOFAN
P-TarJSEOVT40,Keep,Kano-WOFAN
P-MigPZROCX37,Keep,Jigawa-WOFAN
P-Kum3B3SSF52,Keep,Kano-WOFAN
P-TorSCGA4A35,Keep,Bauchi-WOFAN
P-RinLGBRHM43,Keep,Jigawa-WOFAN
P-Mig6I1KIG29,Keep,Jigawa-WOFAN
P-FagSHQ2XV03,Keep,Kano-WOFAN
P-RinGAI7EW03,Keep,Jigawa-WOFAN
P-Gum3C7NZW30,Keep,Benue-PVNL
P-GumACI2KI01,Keep,Benue-PVNL
P-FagKTXFO839,Keep,Kano-WOFAN
P-Rin2Q7MEN15,Keep,Jigawa-WOFAN
P-GumRAMM1229,Keep,Benue-PVNL
P-KanNIIBUM49,Keep,Kano-WOFAN
P-RinR029GZ47,Keep,Jigawa-WOFAN
P-GumEXQ2ZX10,Keep,Benue-PVNL
P-FagX9VA1S13,Keep,Kano-WOFAN
P-Sab5R89EC32,Keep,Kaduna-WOFAN
P-GomR1SKYM35,Keep,Gombe-WOFAN
P-JahYFJ0UF02,Keep,Jigawa-WOFAN
P-TarXGM1QN08,Keep,Kano-WOFAN
P-Mig8R6QCW13,Keep,Jigawa-WOFAN
P-FagXFL2JL44,Keep,Kano-WOFAN
P-BauRNFR2Q45,Keep,Bauchi-WOFAN
P-FagYVU0G710,Keep,Kano-WOFAN
P-BebKAPKUM49,Keep,Kano-WOFAN
P-Mig5MZUFF44,Keep,Jigawa-WOFAN
P-Jem414XJ002,Keep,Kaduna-Kaduna 2-PVNL
P-DarJP3EH317,Keep,Bauchi-WOFAN
P-MigNQ4CQI12,Keep,Jigawa-WOFAN
P-MarVEWNQZ51,Keep,Benue-PVNL
P-FagAQVYAY38,Keep,Kano-WOFAN
P-LafSEDE1757,Keep,Nasarawa-PVNL
P-FagK68FVI56,Keep,Kano-WOFAN
P-MigYTIFI558,Keep,Jigawa-WOFAN
P-KanO57FK518,Keep,Kano-WOFAN
P-MigI741TP49,Keep,Jigawa-WOFAN
P-BauV116KN05,Keep,Bauchi-WOFAN
P-KwaYM120O03,Keep,Gombe-WOFAN
P-KujYHNGIG29,Keep,FCT-WOFAN
P-Sab1OS1Z128,Keep,Kaduna-WOFAN
P-Jem49RYO625,Keep,Kaduna-Kaduna 2-PVNL
P-AkkRIC1ZG58,Keep,Gombe-WOFAN
P-BauP5PBI444,Keep,Bauchi-WOFAN
P-BauHEN0F505,Keep,Bauchi-WOFAN
P-BauNFYHQM03,Keep,Bauchi-WOFAN
P-FagU4ITQ716,Keep,Kano-WOFAN
P-Fag9T79ZP24,Keep,Kano-WOFAN
P-Jem09HD6R35,Keep,Kaduna-Kaduna 2-PVNL
P-KauR3A9J143,Keep,Jigawa-WOFAN
P-BauLRXKR553,Keep,Bauchi-WOFAN
P-FagB5S8UY48,Keep,Kano-WOFAN
P-KumNQEKRY39,Keep,Kano-WOFAN
P-MigTN8IJI33,Keep,Jigawa-WOFAN
P-Duk6VPU1A39,Keep,Gombe-WOFAN
P-FagK7LJ2315,Keep,Kano-WOFAN
P-MigT81Z8A38,Keep,Jigawa-WOFAN
P-MigOMDWYL23,Keep,Jigawa-WOFAN
P-MigM2LLPM03,Keep,Jigawa-WOFAN
P-MadZT5TN357,Keep,Kano-WOFAN
P-MigEKDQBG59,Keep,Jigawa-WOFAN
P-GwaU7ZYHW58,Keep,FCT-WOFAN
P-BauZJ210I09,Keep,Bauchi-WOFAN
P-KauX2NWZB56,Keep,Jigawa-WOFAN
P-Gom2A0ATJ51,Keep,Gombe-WOFAN
P-ZarUO3JD347,Keep,Kaduna-WOFAN
P-AkaUF8C9Z08,Keep,Nasarawa-PVNL
P-KanDDMQT314,Keep,Kano-WOFAN
P-KadQDIDZC45,Keep,Kaduna-Kaduna 1-PVNL
P-KarPC976V47,Keep,Nasarawa-PVNL
P-NinSEVAI827,Keep,Bauchi-WOFAN
P-NinALLJQI33,Keep,Bauchi-WOFAN
P-TarSG9F3C21,Keep,Kano-WOFAN
P-Kwa7TS0DR58,Keep,Gombe-WOFAN
P-Nin2O5AQG09,Keep,Bauchi-WOFAN
P-KumUQ5DK914,Keep,Kano-WOFAN
P-KacHSQ7LF30,Keep,Kaduna-Kaduna 2-PVNL
P-KefV27XS427,Keep,Nasarawa-PVNL
P-NinH07IFI25,Keep,Bauchi-WOFAN
P-KiyYX6SBE39,Keep,Jigawa-WOFAN
P-MadD5B6GY50,Keep,Kano-WOFAN
P-NinP0Y1V100,Keep,Bauchi-WOFAN
P-HadS75ZPA22,Keep,Jigawa-WOFAN
P-Nin5IBIXO13,Keep,Bauchi-WOFAN
P-Kwa3ADMHG10,Keep,Gombe-WOFAN
P-KumHI6KRC36,Keep,Kano-WOFAN
P-Kiy0NCVBZ22,Keep,Jigawa-WOFAN
P-Kau2REGUP42,Keep,Jigawa-WOFAN
P-Bir50ZKIO36,Keep,Jigawa-WOFAN
P-Mar61PHDC47,Keep,Benue-PVNL
P-Nin1HUUP930,Keep,Bauchi-WOFAN
P-KarQ6LCJE07,Keep,Nasarawa-PVNL
P-BauISCW6V39,Keep,Bauchi-WOFAN
P-KiyI6DN1K19,Keep,Jigawa-WOFAN
P-Jem4A1V7438,Keep,Kaduna-Kaduna 2-PVNL
P-KiySDKRBG02,Keep,Jigawa-WOFAN
P-KarGZF75C21,Keep,Nasarawa-PVNL
P-KadGKX4DV36,Keep,Kaduna-Kaduna 1-PVNL
P-GumTSRZAO05,Keep,Benue-PVNL
P-Gwa5G7UZR10,Keep,Jigawa-WOFAN
P-JemW96XSR42,Keep,Kaduna-Kaduna 2-PVNL
P-MadAMYX0F29,Keep,Kano-WOFAN
P-Tor6WD7U604,Keep,Bauchi-WOFAN
P-Gwa14VICI39,Keep,Jigawa-WOFAN
P-ZarFEJ63Q28,Keep,Kaduna-WOFAN
P-MadFZXSC319,Keep,Kano-WOFAN
P-DalQ7W42Q11,Keep,Kano-WOFAN
P-NasLA53Y253,Keep,Kano-WOFAN
P-BauE1N3OW21,Keep,Bauchi-WOFAN
P-MadSLBS3B30,Keep,Kano-WOFAN
P-MadHLMYTE02,Keep,Kano-WOFAN
P-MigXMMW0X40,Keep,Jigawa-WOFAN
P-MadUH4F8U39,Keep,Kano-WOFAN
P-MadNY6B8X43,Keep,Kano-WOFAN
P-MigJRB3NF32,Keep,Jigawa-WOFAN
P-Mad8L73RI32,Keep,Kano-WOFAN
P-BauYOB42K34,Keep,Bauchi-WOFAN
P-MigNZ8WV032,Keep,Jigawa-WOFAN
P-Mad09OXHA20,Keep,Kano-WOFAN
P-ZarKL8HIB06,Keep,Kaduna-WOFAN
P-Mak3JXMC712,Keep,Kaduna-WOFAN
P-MarLAIBDQ51,Keep,Benue-PVNL
P-AuyD23GOZ32,Keep,Jigawa-WOFAN
P-MadYVQDAC00,Keep,Kano-WOFAN
P-BebR3ZY0R55,Keep,Kano-WOFAN
P-Mig2KWVT829,Keep,Jigawa-WOFAN
P-MadN5AKLT18,Keep,Kano-WOFAN
P-AuyKP3F4019,Keep,Jigawa-WOFAN
P-Bau82F8PH03,Keep,Bauchi-WOFAN
P-BebU0MLQ805,Keep,Kano-WOFAN
P-MigCS7XM551,Keep,Jigawa-WOFAN
P-MigZTI2V648,Keep,Jigawa-WOFAN
P-BebYYC3FU54,Keep,Kano-WOFAN
P-AuyP82UH146,Keep,Jigawa-WOFAN
P-MigTSBL3G45,Keep,Jigawa-WOFAN
P-BebRU43VQ31,Keep,Kano-WOFAN
P-GomTACZ2Q39,Keep,Gombe-WOFAN
P-Beb6IKRPZ45,Keep,Kano-WOFAN
P-BauN0SCR518,Keep,Bauchi-WOFAN
P-Bau99IJJ451,Keep,Bauchi-WOFAN
P-BebAHZIYD11,Keep,Kano-WOFAN
P-BauHI6I6I41,Keep,Bauchi-WOFAN
P-AuyIAVLQ408,Keep,Jigawa-WOFAN
P-BebVIRP4T44,Keep,Kano-WOFAN
P-RinQV0JKO43,Keep,Jigawa-WOFAN
P-DarYLRL7803,Keep,Bauchi-WOFAN
P-Beb64P0YW31,Keep,Kano-WOFAN
P-GomDV59AN05,Keep,Gombe-WOFAN
P-DarGOWRKD28,Keep,Bauchi-WOFAN
P-Gwa6QQDQZ22,Keep,FCT-WOFAN
P-KefKQ099A16,Keep,Nasarawa-PVNL
P-DarPC1AVC39,Keep,Bauchi-WOFAN
P-Dar4NA9K859,Keep,Bauchi-WOFAN
P-Bau2I8C7653,Keep,Bauchi-WOFAN
P-DarINUKGD04,Keep,Bauchi-WOFAN
P-MarL56LQM00,Keep,Benue-PVNL
P-Dar57Q47A20,Keep,Bauchi-WOFAN
P-BauM1L1K409,Keep,Bauchi-WOFAN
P-DarVWJ5WW16,Keep,Bauchi-WOFAN
P-Gom89IT8S51,Keep,Gombe-WOFAN
P-BauM5N7RG42,Keep,Bauchi-WOFAN
P-Nas4PRG8G33,Keep,Kano-WOFAN
P-YamDAWO4X28,Keep,Gombe-WOFAN
P-Gir9FK9OS12,Keep,Adamawa-Farm Innovation
P-KumCC6CS831,Keep,Kano-WOFAN
P-ChiS8STX513,Keep,Kaduna-Kaduna 1-PVNL
P-GomL7PYB200,Keep,Gombe-WOFAN
P-KafT0VMPR15,Keep,Jigawa-WOFAN
P-BauZDI1ER15,Keep,Bauchi-WOFAN
P-Gom4HS8TY48,Keep,Gombe-WOFAN
P-Bau36W0BT00,Keep,Bauchi-WOFAN
P-RinGXHRZT14,Keep,Jigawa-WOFAN
P-GomQW2JXZ05,Keep,Gombe-WOFAN
P-YamWZEFHX54,Keep,Gombe-WOFAN
P-TarLBMB3L12,Keep,Kano-WOFAN
P-Duk1LK7G826,Keep,Gombe-WOFAN
P-MakQL6J9X32,Keep,Kaduna-WOFAN
P-KwaJWTRKL01,Keep,Gombe-WOFAN
P-Kwa0721XR04,Keep,Gombe-WOFAN
P-KanT48SB915,Keep,Kano-WOFAN
P-JemXUM0AC03,Keep,Kaduna-Kaduna 2-PVNL
P-Bau4WCCUC16,Keep,Bauchi-WOFAN
P-KadYT8CN307,Keep,Kaduna-Kaduna 1-PVNL
P-Kau3I45H440,Keep,Jigawa-WOFAN
P-Aka1WOYHZ59,Keep,Nasarawa-PVNL
P-KauKGZG8753,Keep,Jigawa-WOFAN
P-Jah855VSA09,Keep,Jigawa-WOFAN
P-KauTW03EP38,Keep,Jigawa-WOFAN
P-BauD3HHIZ32,Keep,Bauchi-WOFAN
P-AkkSUOYT522,Keep,Gombe-WOFAN
P-KefD93VYX36,Keep,Nasarawa-PVNL
P-TarA38A5D16,Keep,Kano-WOFAN
P-Rin3PON2A33,Keep,Jigawa-WOFAN
P-JemEAPRZO34,Keep,Kaduna-Kaduna 2-PVNL
P-AkkANEGC944,Keep,Gombe-WOFAN
P-NinJY6OGB14,Keep,Bauchi-WOFAN
P-JemPZZ12G03,Keep,Kaduna-Kaduna 2-PVNL
P-Akk91C51A18,Keep,Gombe-WOFAN
P-AkkRFX3CF29,Keep,Gombe-WOFAN
P-TarGLGRNN59,Keep,Kano-WOFAN
P-Tar7Q6LN555,Keep,Kano-WOFAN
P-TafHVBNHJ32,Keep,Bauchi-WOFAN
P-AkkA3XPDA03,Keep,Gombe-WOFAN
P-NinRCFUE042,Keep,Bauchi-WOFAN
P-AkkMGH8K753,Keep,Gombe-WOFAN
P-JahUZB51224,Keep,Jigawa-WOFAN
P-NinPSLXCH27,Keep,Bauchi-WOFAN
P-Akk4HMXG903,Keep,Gombe-WOFAN
P-BauB11XEE59,Keep,Bauchi-WOFAN
P-Akk34U7A235,Keep,Gombe-WOFAN
P-TorHSBQL946,Keep,Bauchi-WOFAN
P-NinPISZZX49,Keep,Bauchi-WOFAN
P-AkkYEHSXT50,Keep,Gombe-WOFAN
P-JemKDD6WI00,Keep,Kaduna-Kaduna 2-PVNL
P-AkkIOFKNG11,Keep,Gombe-WOFAN
P-KacPKIC3A19,Keep,Kaduna-Kaduna 2-PVNL
P-NinQCI4LG11,Keep,Bauchi-WOFAN
P-TarRB7VPE30,Keep,Kano-WOFAN
P-Jah9CVMQJ54,Keep,Jigawa-WOFAN
P-BebZ784AT18,Keep,Kano-WOFAN
P-JahHLD7JZ00,Keep,Jigawa-WOFAN
P-Alk9KUOTZ46,Keep,Bauchi-WOFAN
P-AkkHWT9AR09,Keep,Gombe-WOFAN
P-BebF3KPUR11,Keep,Kano-WOFAN
P-NinO15WYQ57,Keep,Bauchi-WOFAN
P-ChiCGW35B08,Keep,Kaduna-Kaduna 1-PVNL
P-Kau27WXAI18,Keep,Jigawa-WOFAN
P-Jem13T58T12,Keep,Kaduna-Kaduna 2-PVNL
P-GwaKOJ6QD58,Keep,FCT-WOFAN
P-AkkZNW7I631,Keep,Gombe-WOFAN
P-Aka511DFH14,Keep,Nasarawa-PVNL
P-NinA5Q00V59,Keep,Bauchi-WOFAN
P-Ung5QYFOT59,Keep,Kano-WOFAN
P-AkkF2ZMAA38,Keep,Gombe-WOFAN
P-AkaWNO1B245,Keep,Nasarawa-PVNL
P-BauBA0XQR29,Keep,Bauchi-WOFAN
P-Nin833NWU53,Keep,Bauchi-WOFAN
P-MadTQHPN722,Keep,Kano-WOFAN
P-AkkV2YZ8K01,Keep,Gombe-WOFAN
P-BebV4CPO626,Keep,Kano-WOFAN
P-AkaP6UG6N48,Keep,Nasarawa-PVNL
P-YolNWCN2U13,Keep,Adamawa-Farm Innovation
P-UngSJ2TK834,Keep,Kano-WOFAN
P-BebC018EZ26,Keep,Kano-WOFAN
P-Aka4GGRHT18,Keep,Nasarawa-PVNL
P-NinJDY39753,Keep,Bauchi-WOFAN
P-AkkACK4LX38,Keep,Gombe-WOFAN
P-BebYM5EXH13,Keep,Kano-WOFAN
P-BebTP9CUX09,Keep,Kano-WOFAN
P-AkkEP37GH28,Keep,Gombe-WOFAN
P-NinRLNHOK07,Keep,Bauchi-WOFAN
P-BebLEGDK655,Keep,Kano-WOFAN
P-Gwa3RY7CT06,Keep,FCT-WOFAN
P-AkkMR576R50,Keep,Gombe-WOFAN
P-BebPDR3PQ56,Keep,Kano-WOFAN
P-Bau1GL4GO56,Keep,Bauchi-WOFAN
P-UngCAQUE203,Keep,Kano-WOFAN
P-AkkMCT2DS44,Keep,Gombe-WOFAN
P-BebNKGGD721,Keep,Kano-WOFAN
P-KanB149YP18,Keep,Kano-WOFAN
P-NinWW5TMD34,Keep,Bauchi-WOFAN
P-Akk5QMAQI53,Keep,Gombe-WOFAN
P-BebZAJTYV28,Keep,Kano-WOFAN
P-AkkNXHRAZ52,Keep,Gombe-WOFAN
P-BebSLBA6S35,Keep,Kano-WOFAN
P-KirZXRWIE57,Keep,Kano-WOFAN
P-NinKQO8VN40,Keep,Bauchi-WOFAN
P-BebPUDC3R06,Keep,Kano-WOFAN
P-KanL5QRK229,Keep,Kano-WOFAN
P-AkkI711YQ30,Keep,Gombe-WOFAN
P-GweWQZXX724,Keep,Benue-PVNL
